"R0","waneRate","OPVtrans","ramp","vaccRate","finalPrev","min0t50","avg15t50"
6,0.07,0.05,2,3,1.30433330502089e-321,2.03369302026e-80,4.81233760028e-23
7,0.07,0.05,2,0,0.00375882643922,0.00375882642595,0.00375916516316
7,0.07,0.05,2,0.1,0.00292711777113,0.00231001941017,0.0029257703195
7,0.07,0.05,2,0.2,0.00221275790985,0.00122298119858,0.00223854648279
7,0.07,0.05,2,0.3,0.00160499985614,0.000511883060648,0.00161350945825
7,0.07,0.05,2,0.4,0.00108726803223,0.000144323386915,0.00107903419619
7,0.07,0.05,2,0.5,0.000641554501862,2.03667508255e-05,0.00085377051285
7,0.07,0.05,2,0.6,0.000251815741286,9.23018875111e-07,0.000453429381455
7,0.07,0.05,2,0.7,2.8727901757e-73,7.62765776514e-09,0.000174533297872
7,0.07,0.05,2,0.8,5.70215916202e-261,1.00692702794e-15,5.93322525473e-12
7,0.07,0.05,2,0.9,1.8626274848215e-321,7.78309384001e-28,7.3581185627e-14
7,0.07,0.05,2,1,4.59481050632359e-322,3.77389793712e-37,2.6330208703e-15
7,0.07,0.05,2,1.1,6.22522713759971e-322,2.13390021858e-44,1.70890296425e-16
7,0.07,0.05,2,1.2,3.11261356879985e-322,4.10153653835e-50,1.72244006327e-17
7,0.07,0.05,2,1.3,3.50786608547285e-322,1.09011525768e-54,2.44042028623e-18
7,0.07,0.05,2,1.4,3.85371203756172e-322,2.07585454803e-58,4.52652965373e-19
7,0.07,0.05,2,1.5,7.95445689804407e-322,1.74814969822e-61,1.04237724362e-19
7,0.07,0.05,2,1.6,8.39911597930119e-322,4.58624701454e-64,2.86328367517e-20
7,0.07,0.05,2,1.7,9.33784070639956e-322,2.89537032081e-66,9.09589003465e-21
7,0.07,0.05,2,1.8,3.50786608547285e-322,3.62753411381e-68,3.26128675623e-21
7,0.07,0.05,2,1.9,6.6204796542727e-322,7.86424745637e-70,1.29533850684e-21
7,0.07,0.05,2,2,1.06718179501709e-321,2.65335695427e-71,5.61304310779e-22
7,0.07,0.05,2,2.1,1.79839895086214e-321,1.28019972415e-72,2.61985790223e-22
7,0.07,0.05,2,2.2,1.76381435565325e-321,8.31858236558e-74,1.3043333861e-22
7,0.07,0.05,2,2.3,1.12152901605963e-321,6.96512364096e-75,6.87141295685e-23
7,0.07,0.05,2,2.4,1.65511991356818e-321,7.20599088557e-76,3.80211171431e-23
7,0.07,0.05,2,2.5,1.70946713461071e-321,8.95999194439e-77,2.19761758378e-23
7,0.07,0.05,2,2.6,1.31915527439613e-321,1.30685656912e-77,1.32036718204e-23
7,0.07,0.05,2,2.7,9.93071948140906e-322,2.19255586489e-78,8.21147490196e-24
7,0.07,0.05,2,2.8,9.98012604599318e-322,4.160401588e-79,5.26692047554e-24
7,0.07,0.05,2,2.9,1.67488253940183e-321,8.81642746752e-80,3.47398352602e-24
7,0.07,0.05,2,3,1.69958582169389e-321,2.06320734087e-80,2.35008247715e-24
8,0.07,0.05,2,0,0.00393002176597,0.00393002176571,0.0039304227644
8,0.07,0.05,2,0.1,0.00311802482678,0.00250667818872,0.00311275603802
8,0.07,0.05,2,0.2,0.00241285578663,0.00139916018353,0.00242422143944
8,0.07,0.05,2,0.3,0.00180922908292,0.000634190180575,0.00183235060749
8,0.07,0.05,2,0.4,0.00129502729607,0.000204274546467,0.00127426508552
8,0.07,0.05,2,0.5,0.000854914575108,3.66322033629e-05,0.000923682352518
8,0.07,0.05,2,0.6,0.000473909936499,2.55104254005e-06,0.000630055284875
8,0.07,0.05,2,0.7,0.000139525288731,4.80164931879e-08,0.000288989535406
8,0.07,0.05,2,0.8,9.61263326868e-108,1.62297694408e-10,1.1227414956e-05
8,0.07,0.05,2,0.9,1.10759470532e-277,1.3012200521e-18,2.0931777435e-13
8,0.07,0.05,2,1,6.37344683135208e-322,2.46201564001e-29,4.02407306149e-15
8,0.07,0.05,2,1.1,7.0157321709457e-322,1.04464243682e-37,1.71094552329e-16
8,0.07,0.05,2,1.2,4.15015142506647e-322,2.48977786303e-44,1.22706440847e-17
8,0.07,0.05,2,1.3,4.44659081257122e-322,1.20651328174e-49,1.30778611909e-18
8,0.07,0.05,2,1.4,9.09080788347894e-322,5.63561605111e-54,1.90185357489e-19
8,0.07,0.05,2,1.5,1.53160350210786e-321,1.46563994572e-57,3.54707719596e-20
8,0.07,0.05,2,1.6,1.02271588689138e-321,1.41955093348e-60,8.09840576037e-21
