"R0","waneRate","OPVtrans","ramp","vaccRate","finalPrev","lambdaIoutReinfF","lambdaIoutReinf0t5F","lambdaIoutReinf5t15F","lambdaIoutReinf15p","lambdaIoutF","lambdaIout0t5F","lambdaIout5t15F","lambdaIout15p"
10,0.07,0.05,2,2.2,4.34777768340297e-321,1.02271588689138e-321,0,9.88131291682493e-324,1.01283457397456e-321,1.89721208003039e-321,3.90311860214585e-322,2.12448227711736e-322,1.29445199210407e-321
10,0.07,0.05,2,2.3,4.27860849298520e-321,9.93071948140906e-322,0,9.88131291682493e-324,9.88131291682493e-322,1.85274617190467e-321,3.75489890839347e-322,2.12448227711736e-322,1.26974870981200e-321
10,0.07,0.05,2,2.4,4.39718424798709e-321,1.05235982564186e-321,0,2.47032822920623e-323,1.03259719980821e-321,1.89227142357197e-321,3.55727265005698e-322,2.27270197086973e-322,1.31421461793772e-321
10,0.07,0.05,2,2.5,4.16497339444171e-321,9.68368665848843e-322,0,2.47032822920623e-323,9.48606040015193e-322,1.75887369919484e-321,3.26083326255223e-322,2.22329540628561e-322,1.21540148876947e-321
10,0.07,0.05,2,2.6,4.21932061548425e-321,9.93071948140906e-322,0,1.48219693752374e-323,9.8319063522408e-322,1.79839895086214e-321,3.31023982713635e-322,2.12448227711736e-322,1.25986739689518e-321
10,0.07,0.05,2,2.7,3.20648604150969e-321,7.4109846876187e-322,0,9.88131291682493e-324,7.31217155845045e-322,1.43773102939803e-321,2.91498731046335e-322,1.92685601878086e-322,9.53546696473606e-322
10,0.07,0.05,2,2.8,4.15015142506647e-321,9.68368665848843e-322,0,9.88131291682493e-324,9.58487352932018e-322,1.79345829440372e-321,3.45845952088873e-322,2.07507571253324e-322,1.24010477106153e-321
10,0.07,0.05,2,2.9,4.67386100965819e-321,1.07706310793392e-321,0,9.88131291682493e-324,1.07212245147551e-321,2.03060980440752e-321,3.6066792146411e-322,3.06320700421573e-322,1.36856183898025e-321
10,0.07,0.05,2,3,4.30331177527726e-321,1.00295326105773e-321,0,2.47032822920623e-323,9.8319063522408e-322,1.81322092023737e-321,3.26083326255223e-322,2.27270197086973e-322,1.26480805335359e-321
12,0.07,0.05,2,0,0.00448322644503,0.000361725674996,1.50390111793e-06,3.80904087429e-05,0.000322131365135,0.00265427445457,0.0016517742802,0.000623577138413,0.000378923035959
12,0.07,0.05,2,0.1,0.00374733766626,0.000348028133218,1.34180893029e-06,3.45474921241e-05,0.000312138832164,0.00214361708206,0.00125314253005,0.000505335840918,0.000385138711088
